task_id,employee_id,project_id,task_name,task_type,complexity,priority,status,story_points,estimated_hours,actual_hours,progress_percent,start_date,end_date,sprint_no,bug_count,dependency_task_id,remarks,task_domain,required_skill_context
T000013,E00159,P00013,Test API contract changes,Testing,Medium,Medium,In Progress,5,60,67,73,2023-06-09,2023-06-13,3,0,T000002,Client-facing deliverable,Quality/Security,Automation Testing
T000014,E00282,P00014,Migrate user mailboxes,Research,Medium,High,In Progress,7,77,72,70,2024-10-29,2024-11-07,1,3,NONE,Client-facing deliverable,Data/AI,AWS
T000015,E00226,P00015,Build reporting module,Design,Medium,Medium,To Do,5,20,19,0,2025-08-18,2025-08-22,1,2,T000013,Cross-team dependency,Backend,Spring Boot
T000016,E00137,P00016,Review IAM policy changes,Testing,Medium,Medium,In Review,6,54,57,83,2024-08-27,2024-08-31,2,2,NONE,High visibility,Quality/Security,Docker
T000017,E00053,P00017,Patch vulnerable dependency,Code Review,High,High,Done,9,108,110,100,2024-03-18,2024-04-07,10,3,NONE,Internal improvement,Backend,Git; AWS; Linux
T000018,E00020,P00018,Automate checkout test cases,Feature Development,High,High,In Progress,13,130,66,31,2025-03-24,2025-04-19,9,3,T000015,Performance critical,Backend,Java
T000019,E00446,P00019,Automate checkout test cases,Feature Development,High,High,In Progress,10,60,56,41,2026-04-13,2026-05-05,1,4,T000016,Internal improvement,Backend,Testing
T000020,E00001,P00020,Model conversion funnel metrics,Design,Medium,Critical,In Progress,6,60,48,74,2024-06-16,2024-07-01,4,1,NONE,High visibility,Backend,Python; MongoDB
T000021,E00019,P00021,Implement MFA enforcement,Research,High,Medium,To Do,9,45,46,0,2025-10-30,2025-11-03,3,5,NONE,Cross-team dependency,Data/AI,Kubernetes; AWS; Azure
T000022,E00325,P00022,Validate feature pipeline,Feature Development,Medium,Low,Done,8,80,132,100,2024-11-10,2024-11-21,2,5,T000020,Automation opportunity,Backend,MongoDB
T000023,E00207,P00023,Update resource forecast,Research,High,Medium,In Review,10,70,75,96,2024-01-26,2024-02-08,4,0,NONE,Internal improvement,Data/AI,Data Analysis
T000024,E00117,P00024,Review IAM policy changes,Documentation,Low,Low,To Do,1,10,9,0,2023-08-22,2023-08-31,2,0,NONE,High visibility,DevOps/Cloud,Linux; Azure
T000025,E00166,P00025,Investigate suspicious login events,User Story,Medium,High,To Do,5,35,42,0,2025-04-16,2025-04-21,14,4,NONE,Cross-team dependency,Backend,DevOps; Azure
T000026,E00380,P00026,Prioritize sprint backlog,Testing,Medium,Medium,In Progress,4,36,39,25,2023-07-02,2023-07-07,1,0,T000024,Client-facing deliverable,Quality/Security,SQL
T000027,E00009,P00027,Document partner workflow,User Story,High,High,To Do,9,72,78,0,2025-11-04,2025-11-28,1,1,T000001,High visibility,Backend,UI/UX Design
T000028,E00301,P00028,Resolve SSO incident,Testing,High,High,To Do,10,80,90,0,2024-07-07,2024-07-21,6,4,NONE,Support handoff required,Quality/Security,SQL
T000029,E00273,P00029,Audit admin access requests,Design,Low,Medium,To Do,3,21,30,0,2025-12-06,2025-12-18,11,2,NONE,Security-sensitive,DevOps/Cloud,Linux
T000030,E00019,P00030,Review IAM policy changes,Code Review,Medium,Low,To Do,5,25,18,0,2023-07-05,2023-07-07,2,4,NONE,Performance critical,Backend,Linux; AWS
T000031,E00357,P00031,Model conversion funnel metrics,Testing,Low,Critical,In Progress,2,18,19,35,2023-09-13,2023-09-24,13,1,NONE,Cross-team dependency,Quality/Security,PostgreSQL
T000032,E00339,P00032,Implement authentication flow,Research,Low,Medium,In Progress,3,21,16,73,2024-07-14,2024-07-17,4,5,NONE,Support handoff required,Data/AI,Spring Boot; JavaScript
T000033,E00152,P00033,Set up secret rotation,Design,Medium,Medium,Done,4,28,31,100,2024-12-29,2025-01-12,22,1,T000014,High visibility,DevOps/Cloud,Kubernetes; Go
T000034,E00069,P00034,Create weekly operations report,Analysis,Medium,Critical,To Do,6,48,38,0,2023-11-24,2023-12-08,3,3,NONE,Support handoff required,Data/AI,Data Science
T000035,E00020,P00035,Upgrade CI pipeline,Bug Fix,Low,Low,Done,2,8,7,100,2026-01-28,2026-02-05,17,1,NONE,Security-sensitive,Quality/Security,Go
T000036,E00072,P00036,Track milestone risks,Bug Fix,Medium,High,To Do,6,66,61,0,2024-01-27,2024-02-01,5,0,T000002,Internal improvement,Quality/Security,SQL
T000037,E00306,P00037,Build reporting module,Design,Medium,Medium,In Progress,5,40,48,84,2026-01-05,2026-01-13,8,2,NONE,High visibility,Backend,Python; PHP; Angular
T000038,E00083,P00038,Automate checkout test cases,User Story,High,Critical,To Do,10,120,144,0,2025-01-12,2025-01-25,2,3,NONE,Automation opportunity,Backend,JavaScript
T000039,E00164,P00039,Deploy forecasting workflow,Feature Development,Medium,Low,In Progress,5,35,25,22,2023-04-10,2023-04-25,2,5,NONE,Cross-team dependency,Backend,PostgreSQL
T000040,E00203,P00040,Refine mobile navigation flow,Testing,Low,Medium,In Progress,1,10,10,39,2023-10-09,2023-10-14,1,0,NONE,Client-facing deliverable,Quality/Security,UI/UX Design; JavaScript
T000041,E00352,P00041,Implement authentication flow,Analysis,Medium,Low,Done,5,60,50,100,2025-10-12,2025-10-25,9,2,NONE,High visibility,Data/AI,Python
T000042,E00118,P00042,Validate revenue attribution logic,Code Review,High,Medium,In Review,11,66,47,97,2023-11-29,2023-12-15,2,3,NONE,Performance critical,Backend,Python; SQL; MongoDB
T000043,E00052,P00043,Deploy forecasting workflow,Research,Medium,Medium,In Progress,5,25,23,77,2023-06-25,2023-07-10,1,5,NONE,Needs stakeholder sign-off,Data/AI,MongoDB; AWS
T000044,E00025,P00044,Build order management API,Feature Development,Medium,High,Done,7,35,32,100,2024-04-23,2024-04-30,3,0,NONE,Support handoff required,Backend,Python
T000045,E00110,P00045,Conduct access review,Testing,High,Medium,In Review,9,81,124,91,2023-07-08,2023-07-27,1,0,T000008,Automation opportunity,Quality/Security,Cybersecurity
T000046,E00383,P00046,Update resource forecast,Design,Medium,High,In Review,5,45,49,93,2025-07-14,2025-07-15,2,1,NONE,Performance critical,Data/AI,Git
T000047,E00347,P00047,Analyze user feedback trends,Code Review,Low,Medium,Done,1,7,4,100,2025-01-26,2025-02-04,5,5,NONE,Cross-team dependency,Backend,UI/UX Design
T000048,E00117,P00048,Set up secret rotation,User Story,High,Low,To Do,8,80,70,0,2025-12-05,2025-12-20,1,4,T000034,Client-facing deliverable,Backend,Go
T000049,E00117,P00049,Patch vulnerable dependency,Research,Medium,Low,To Do,8,32,39,0,2024-07-02,2024-07-14,3,4,NONE,Internal improvement,Data/AI,Linux; Cybersecurity
T000050,E00033,P00050,Refactor billing service,Analysis,Medium,High,In Progress,7,42,61,75,2025-12-06,2025-12-18,8,0,NONE,Needs stakeholder sign-off,Data/AI,Django
T000051,E00456,P00051,Roll out device encryption policy,Design,Medium,Critical,In Progress,6,42,27,75,2024-12-04,2024-12-07,5,4,NONE,Performance critical,Backend,Cybersecurity
T000052,E00197,P00052,Create responsive dashboard mockups,Design,Medium,High,In Progress,3,18,10,42,2023-12-07,2023-12-17,5,5,NONE,Security-sensitive,Frontend,React; UI/UX Design
T000053,E00199,P00053,Design checkout journey,Deployment,Medium,Medium,In Progress,3,15,21,66,2025-02-23,2025-03-04,7,2,NONE,Client-facing deliverable,DevOps/Cloud,UI/UX Design
T000054,E00412,P00054,Prepare project governance pack,Research,Medium,High,In Progress,5,25,27,54,2023-03-02,2023-03-06,4,0,NONE,Internal improvement,Data/AI,Git
T000055,E00693,P00055,Execute performance test plan,Deployment,Medium,High,In Progress,3,15,12,46,2026-03-02,2026-03-17,2,2,T000020,Automation opportunity,DevOps/Cloud,JavaScript
T000056,E00107,P00056,Write regression test suite,Research,Medium,High,In Review,5,30,33,90,2026-03-09,2026-03-20,2,5,T000022,Automation opportunity,Data/AI,Java; Python
T000057,E00410,P00057,Set up secret rotation,Feature Development,High,Medium,Done,13,65,27,100,2023-04-10,2023-04-16,3,0,NONE,Automation opportunity,Backend,Cybersecurity
T000058,E00031,P00058,Refactor billing service,Deployment,Medium,High,To Do,4,32,32,0,2025-06-15,2025-06-26,5,5,T000038,Performance critical,DevOps/Cloud,Flask
T000059,E00015,P00059,Automate backup policy,Documentation,Medium,Medium,In Review,8,96,102,87,2023-11-17,2023-11-27,3,0,NONE,Support handoff required,DevOps/Cloud,Kubernetes; AWS
T000060,E00074,P00060,Implement MFA enforcement,Code Review,Medium,High,Done,5,55,66,100,2025-09-13,2025-09-28,16,1,NONE,High visibility,Backend,Linux
T000061,E00026,P00061,Analyze user feedback trends,Documentation,Medium,Medium,Done,5,25,19,100,2023-03-03,2023-03-05,1,0,NONE,Requires approval,Frontend,Data Analysis
T000062,E00391,P00062,Document partner workflow,Analysis,High,High,Blocked,10,60,43,48,2025-04-25,2025-05-22,4,3,NONE,Needs stakeholder sign-off,Data/AI,Git
T000063,E00316,P00063,Model conversion funnel metrics,Feature Development,Low,Medium,Done,2,12,9,100,2026-03-25,2026-03-29,2,4,NONE,Performance critical,Backend,MongoDB
T000064,E00356,P00064,Roll out device encryption policy,Feature Development,Medium,High,In Progress,3,36,38,79,2025-09-22,2025-09-27,3,4,NONE,Cross-team dependency,Backend,SQL
T000065,E00571,P00065,Refine mobile navigation flow,Feature Development,Low,High,Done,3,33,26,100,2025-03-21,2025-04-01,14,0,NONE,Needs stakeholder sign-off,Backend,React
T000066,E00238,P00066,Migrate user mailboxes,Testing,High,High,To Do,13,104,94,0,2024-01-02,2024-02-01,2,3,NONE,Support handoff required,Quality/Security,Cybersecurity
T000067,E00186,P00067,Prepare project governance pack,Code Review,Medium,High,To Do,6,36,28,0,2025-03-28,2025-04-01,1,2,NONE,Automation opportunity,Backend,SQL
T000068,E00405,P00068,Audit accessibility gaps,Feature Development,Medium,High,In Progress,8,80,91,74,2026-03-15,2026-03-29,1,4,NONE,Internal improvement,Backend,JavaScript
T000069,E00178,P00069,Refactor billing service,Code Review,Low,Critical,In Review,2,18,21,98,2024-09-16,2024-09-23,5,0,T000040,High visibility,Backend,PostgreSQL
T000070,E00075,P00070,Prioritize sprint backlog,Bug Fix,Medium,High,In Review,6,24,22,85,2023-10-19,2023-10-22,12,2,NONE,Security-sensitive,Quality/Security,Data Analysis
T000071,E00307,P00071,Model conversion funnel metrics,Deployment,High,Low,Done,11,55,55,100,2023-07-08,2023-07-19,3,3,NONE,Cross-team dependency,DevOps/Cloud,Git
T000072,E00239,P00072,Prepare project governance pack,Code Review,Medium,Medium,Blocked,6,54,20,11,2025-10-14,2025-10-19,2,2,NONE,High visibility,Backend,SQL
T000073,E00246,P00073,Refactor billing service,Deployment,Low,Medium,In Review,1,10,9,76,2024-05-10,2024-05-12,2,1,NONE,Needs stakeholder sign-off,DevOps/Cloud,Git
T000074,E00008,P00074,Prepare project governance pack,Bug Fix,Medium,Low,In Review,5,25,24,82,2026-02-02,2026-02-06,1,1,NONE,Security-sensitive,Quality/Security,SQL
T000075,E00411,P00075,Audit accessibility gaps,User Story,Low,Medium,Done,2,8,12,100,2026-04-27,2026-04-30,2,2,NONE,Cross-team dependency,Backend,Git; UI/UX Design; JavaScript
T000076,E00289,P00076,Create responsive dashboard mockups,Research,Low,Medium,In Progress,2,8,6,39,2026-01-16,2026-01-24,2,3,T000070,Needs stakeholder sign-off,Data/AI,React; UI/UX Design
T000077,E00094,P00077,Draft product requirements,Research,Low,Critical,In Review,1,5,6,96,2024-01-17,2024-01-25,3,1,NONE,Automation opportunity,Data/AI,Data Analysis
T000078,E00204,P00078,Document vendor onboarding process,Bug Fix,High,Medium,To Do,8,32,39,0,2024-09-15,2024-10-14,13,5,NONE,Support handoff required,Quality/Security,SQL
T000079,E00250,P00079,Define release scope,User Story,High,High,In Review,11,77,81,84,2024-04-19,2024-05-06,14,0,NONE,Client-facing deliverable,Backend,SQL
T000080,E00011,P00080,Analyze user feedback trends,Documentation,Low,Medium,Blocked,3,30,32,8,2026-02-06,2026-02-13,1,5,NONE,Cross-team dependency,Backend,Git
T000081,E00205,P00081,Optimize search endpoint,Research,Low,Critical,Blocked,1,8,6,27,2024-07-09,2024-07-21,10,1,NONE,Security-sensitive,Data/AI,Git; Flask
T000082,E00236,P00082,Automate backup policy,Bug Fix,Medium,Low,In Progress,6,30,32,38,2023-06-29,2023-07-14,2,3,NONE,Needs stakeholder sign-off,Quality/Security,Docker
T000083,E00157,P00083,Integrate payment gateway,User Story,Low,High,In Review,2,22,21,79,2024-04-28,2024-05-10,15,5,T000073,Cross-team dependency,Backend,Node.js; Java
T000084,E00234,P00084,Build executive KPI dashboard,Bug Fix,Medium,Medium,Done,4,44,55,100,2023-11-07,2023-11-11,22,3,NONE,Security-sensitive,Quality/Security,Python
T000085,E00467,P00085,Audit accessibility gaps,Research,Medium,Medium,Blocked,4,36,33,34,2023-08-01,2023-08-05,4,0,NONE,Internal improvement,Data/AI,JavaScript
T000086,E00042,P00086,Define release scope,Design,Low,High,To Do,1,6,5,0,2024-09-27,2024-10-02,3,2,NONE,Support handoff required,Backend,Git; SQL
T000087,E00316,P00087,Migrate user mailboxes,Analysis,Medium,Critical,To Do,8,80,56,0,2026-03-01,2026-03-09,16,2,T000069,Cross-team dependency,Data/AI,Cybersecurity; Git
T000088,E00019,P00088,Train churn prediction model,Documentation,Medium,Critical,In Review,8,48,45,91,2025-04-10,2025-04-13,1,0,NONE,Security-sensitive,DevOps/Cloud,Docker; AWS; Data Analysis
T000089,E00115,P00089,Optimize search endpoint,Design,High,High,Blocked,8,48,25,16,2025-11-18,2025-12-11,5,2,NONE,Requires approval,Backend,Node.js; React
T000090,E00124,P00090,Patch vulnerable dependency,Feature Development,Medium,Low,In Progress,5,55,54,51,2026-02-11,2026-02-13,7,4,NONE,Security-sensitive,Backend,Cybersecurity
T000091,E00369,P00091,Automate checkout test cases,Bug Fix,Medium,Medium,In Progress,5,30,38,15,2026-03-01,2026-03-03,5,3,NONE,Automation opportunity,Quality/Security,Java
T000092,E00287,P00092,Optimize search endpoint,Research,Medium,Low,Done,5,20,17,100,2026-04-26,2026-05-11,2,3,NONE,Automation opportunity,Data/AI,Git; React
T000093,E00506,P00093,Analyze user feedback trends,Research,High,High,Blocked,12,84,58,56,2024-12-31,2025-01-25,5,1,NONE,Internal improvement,Data/AI,SQL
T000094,E00280,P00094,Set up secret rotation,Testing,Low,High,To Do,3,18,18,0,2026-04-15,2026-04-22,2,0,NONE,Automation opportunity,Quality/Security,Cybersecurity
T000095,E00318,P00095,Write regression test suite,Testing,High,Medium,In Progress,13,130,154,20,2025-08-21,2025-09-19,7,4,NONE,Performance critical,Quality/Security,Automation Testing
T000096,E00284,P00096,Resolve SSO incident,Deployment,Low,High,Done,3,15,7,100,2025-11-02,2025-11-08,18,0,NONE,Automation opportunity,DevOps/Cloud,AWS; Linux
T000097,E00233,P00097,Validate feature pipeline,Research,Low,Medium,To Do,2,14,12,0,2025-12-23,2025-12-31,11,4,NONE,Requires approval,Data/AI,Data Analysis
T000098,E00264,P00098,Coordinate cutover plan,Research,Medium,Medium,Blocked,5,25,18,20,2024-09-17,2024-09-30,2,1,NONE,Client-facing deliverable,Data/AI,Data Analysis
T000099,E00317,P00099,Prioritize sprint backlog,Deployment,Medium,Medium,In Progress,3,33,41,55,2024-11-08,2024-11-21,1,4,NONE,Performance critical,DevOps/Cloud,Git
T000100,E00013,P00100,Coordinate cutover plan,Code Review,High,Medium,In Review,11,77,68,86,2023-11-29,2023-12-01,2,3,NONE,Security-sensitive,Backend,SQL
T000101,E00130,P00101,Automate backup policy,Testing,High,Medium,Done,10,120,70,100,2025-04-23,2025-04-26,7,3,NONE,Internal improvement,Quality/Security,Go
T000102,E00283,P00102,Migrate user mailboxes,Design,Medium,High,In Progress,6,36,40,17,2024-02-16,2024-03-02,7,0,T000055,Security-sensitive,DevOps/Cloud,AWS
T000103,E00053,P00103,Coordinate cutover plan,Deployment,Medium,Low,In Progress,8,96,82,74,2024-10-22,2024-10-30,7,0,NONE,Requires approval,DevOps/Cloud,Linux
T000104,E00318,P00104,Prepare model monitoring dashboard,Testing,High,Critical,In Progress,10,70,51,75,2023-11-01,2023-11-04,16,1,NONE,Support handoff required,Quality/Security,Python
T000105,E00078,P00105,Update design system components,Deployment,Low,Low,In Progress,3,33,28,71,2024-04-22,2024-05-06,13,2,T000068,High visibility,DevOps/Cloud,Git
T000106,E01657,P00106,Document partner workflow,Deployment,Low,Medium,In Review,1,6,5,98,2025-08-31,2025-09-09,6,5,NONE,Automation opportunity,General,
T000107,E00262,P00107,Update design system components,Documentation,Low,Critical,Done,1,5,4,100,2026-04-16,2026-04-27,1,3,NONE,Cross-team dependency,Frontend,React; JavaScript; UI/UX Design
T000108,E00044,P00108,Build order management API,Documentation,High,High,In Progress,11,132,67,81,2025-09-07,2025-09-13,18,2,T000095,Automation opportunity,Backend,PHP
T000109,E00523,P00109,Document partner workflow,Deployment,Medium,Critical,To Do,4,20,23,0,2023-07-06,2023-07-21,1,0,NONE,Performance critical,DevOps/Cloud,SQL
T000110,E00122,P00110,Set up secret rotation,Testing,High,High,In Review,10,90,115,82,2024-03-30,2024-04-25,7,0,T000011,Client-facing deliverable,Quality/Security,Git
T000111,E00199,P00111,Clean transaction dataset,Research,Low,High,Done,1,4,4,100,2024-02-17,2024-02-24,8,0,NONE,Security-sensitive,Data/AI,Machine Learning
T000112,E00135,P00112,Tune recommendation algorithm,Documentation,Medium,High,In Progress,6,30,22,71,2025-12-23,2025-12-29,12,5,T000035,High visibility,Data/AI,Data Science
T000113,E00161,P00113,Audit accessibility gaps,Research,Low,High,Done,2,14,13,100,2024-01-22,2024-01-29,5,1,NONE,Support handoff required,Data/AI,JavaScript; UI/UX Design
T000114,E00016,P00114,Validate release candidate,Testing,High,High,To Do,12,144,143,0,2023-11-11,2023-11-17,4,4,NONE,Cross-team dependency,Quality/Security,Automation Testing
T000115,E00296,P00115,Validate release candidate,User Story,Low,High,Blocked,3,21,17,42,2026-02-01,2026-02-16,2,5,NONE,Needs stakeholder sign-off,Backend,Java
T000116,E00052,P00116,Refactor billing service,Analysis,Medium,Medium,Done,5,55,63,100,2025-04-15,2025-04-22,8,1,NONE,Client-facing deliverable,Data/AI,Spring Boot; Django
T000117,E00095,P00117,Create weekly operations report,Bug Fix,High,High,Blocked,12,84,45,37,2026-02-22,2026-03-09,5,1,T000038,Support handoff required,Quality/Security,MongoDB
T000118,E00094,P00118,Clean transaction dataset,Documentation,Low,Low,In Review,3,18,18,92,2025-05-08,2025-05-10,3,2,NONE,Security-sensitive,Backend,PostgreSQL; AWS; Git
T000119,E00421,P00119,Reproduce production defect,Bug Fix,Low,Low,Blocked,3,30,24,16,2025-01-08,2025-01-20,12,1,T000046,Automation opportunity,Quality/Security,Testing
T000120,E00348,P00120,Reproduce production defect,Bug Fix,Medium,Low,In Progress,3,12,15,47,2024-08-28,2024-08-31,5,0,NONE,Client-facing deliverable,Quality/Security,Automation Testing
T000121,E00478,P00121,Migrate user mailboxes,Feature Development,Medium,Medium,In Review,8,56,64,90,2024-04-24,2024-05-01,14,3,NONE,Requires approval,Backend,Azure
T000122,E00188,P00122,Validate revenue attribution logic,Deployment,Medium,Critical,Done,6,54,63,100,2024-12-17,2024-12-20,1,3,T000055,Cross-team dependency,DevOps/Cloud,Python
T000123,E00399,P00123,Automate checkout test cases,Feature Development,High,Medium,In Progress,8,88,89,43,2025-01-23,2025-01-31,14,2,NONE,Cross-team dependency,Backend,Python
T000124,E00135,P00124,Roll out device encryption policy,User Story,High,Medium,Done,9,72,94,100,2025-09-29,2025-10-14,3,1,NONE,Requires approval,Backend,SQL
T000125,E00712,P00125,Upgrade CI pipeline,Bug Fix,Medium,Medium,Done,6,30,32,100,2025-07-19,2025-08-01,5,3,NONE,High visibility,Quality/Security,DevOps
T000126,E00058,P00126,Harden Kubernetes ingress,Deployment,Low,Medium,Blocked,2,24,12,63,2026-02-27,2026-03-04,18,2,NONE,Requires approval,DevOps/Cloud,Kubernetes
T000127,E00112,P00127,Conduct access review,Bug Fix,Low,Critical,In Review,1,5,6,94,2025-08-20,2025-08-30,3,4,T000038,Performance critical,Quality/Security,Cybersecurity
T000128,E00039,P00128,Investigate suspicious login events,Deployment,Medium,Low,To Do,3,27,31,0,2023-08-21,2023-09-05,2,4,NONE,Performance critical,DevOps/Cloud,DevOps
T000129,E00111,P00129,Build order management API,Bug Fix,Low,Medium,Done,2,16,14,100,2026-04-10,2026-04-17,2,5,NONE,Cross-team dependency,Quality/Security,PostgreSQL; SQL; Django
T000130,E00075,P00130,Conduct access review,User Story,High,High,Done,8,48,42,100,2026-03-08,2026-04-02,12,1,NONE,Performance critical,Backend,Azure; Cybersecurity
T000131,E00163,P00131,Prioritize sprint backlog,Testing,Medium,Low,In Progress,8,32,34,85,2025-12-05,2025-12-08,3,1,NONE,Automation opportunity,Quality/Security,Git; Data Analysis
T000132,E00366,P00132,Configure observability alerts,Deployment,High,Low,Done,8,40,44,100,2023-12-13,2023-12-18,25,3,NONE,Client-facing deliverable,DevOps/Cloud,Git
T000133,E00268,P00133,Model conversion funnel metrics,Analysis,Medium,High,In Progress,5,30,31,79,2024-08-25,2024-09-06,1,3,T000021,Internal improvement,Data/AI,Data Science
T000134,E00270,P00134,Integrate payment gateway,Testing,Medium,High,To Do,8,32,34,0,2026-03-28,2026-03-31,1,1,NONE,Support handoff required,Quality/Security,PostgreSQL
T000135,E00078,P00135,Migrate user mailboxes,Deployment,Low,Medium,Done,3,36,49,100,2024-06-17,2024-06-30,2,4,NONE,Performance critical,DevOps/Cloud,Azure
T000136,E00115,P00136,Refactor billing service,Analysis,Medium,Medium,To Do,6,66,81,0,2024-11-21,2024-12-03,6,5,T000054,Security-sensitive,Data/AI,Django; Node.js
T000137,E00330,P00137,Train churn prediction model,Deployment,Medium,Critical,Done,6,48,50,100,2024-12-25,2025-01-07,2,1,T000057,Security-sensitive,DevOps/Cloud,Git
T000138,E00151,P00138,Analyze user feedback trends,User Story,Low,Medium,Done,3,24,28,100,2024-12-31,2025-01-07,10,5,NONE,Requires approval,Backend,SQL
T000139,E00182,P00139,Model conversion funnel metrics,Documentation,Medium,Medium,In Progress,5,20,15,61,2025-03-20,2025-04-03,1,3,T000101,Requires approval,Backend,Python; MongoDB
T000140,E00121,P00140,Patch vulnerable dependency,Documentation,Medium,Medium,In Progress,3,15,16,58,2024-12-02,2024-12-10,10,2,NONE,High visibility,DevOps/Cloud,Azure; Linux
T000141,E00192,P00141,Resolve SSO incident,Documentation,Low,Medium,In Review,1,7,9,75,2026-01-11,2026-01-15,2,0,NONE,Requires approval,DevOps/Cloud,AWS
T000142,E00176,P00142,Investigate suspicious login events,Code Review,Low,Critical,Done,2,24,22,100,2025-05-21,2025-06-05,6,1,NONE,Client-facing deliverable,Backend,Linux; DevOps; Git
T000143,E00207,P00143,Build executive KPI dashboard,Bug Fix,Low,High,In Progress,1,4,3,17,2025-06-28,2025-07-08,4,5,NONE,Client-facing deliverable,Quality/Security,MongoDB
T000144,E00411,P00144,Provision staging cluster,User Story,Medium,High,In Progress,6,36,30,55,2024-01-16,2024-01-19,2,5,NONE,Internal improvement,Backend,Go
T000145,E00183,P00145,Analyze user feedback trends,Bug Fix,Medium,Medium,Done,4,40,30,100,2026-04-06,2026-03-14,2,4,T000005,Cross-team dependency,Quality/Security,SQL
T000146,E00332,P00146,Validate feature pipeline,Bug Fix,Low,Medium,Done,1,12,9,100,2024-11-11,2024-11-24,2,2,T000065,Support handoff required,Quality/Security,MongoDB
T000147,E00038,P00147,Update design system components,Testing,Low,High,In Review,2,16,14,94,2024-10-13,2024-10-18,9,4,NONE,Security-sensitive,Quality/Security,UI/UX Design
T000148,E00236,P00148,Patch vulnerable dependency,Bug Fix,Medium,Critical,In Progress,5,60,41,21,2024-09-03,2024-09-13,11,1,NONE,High visibility,Quality/Security,Cybersecurity
T000149,E00161,P00149,Develop customer onboarding screen,Testing,Medium,Critical,In Progress,4,20,20,62,2023-11-26,2023-11-28,21,1,NONE,Support handoff required,Quality/Security,Python; Django
T000150,E00332,P00150,Patch vulnerable dependency,Analysis,Low,Critical,In Progress,2,22,26,36,2023-06-07,2023-06-18,3,3,NONE,Needs stakeholder sign-off,Data/AI,AWS; Cybersecurity
T000151,E00095,P00151,Document partner workflow,Feature Development,Low,Low,Done,3,12,9,100,2025-12-24,2026-01-02,3,4,NONE,Internal improvement,Backend,SQL
T000152,E00135,P00152,Roll out device encryption policy,Feature Development,Medium,Medium,In Progress,7,42,56,47,2026-03-09,2026-03-14,1,4,NONE,Automation opportunity,Backend,AWS; Cybersecurity
T000153,E00003,P00153,Create responsive dashboard mockups,Design,Low,Medium,In Review,3,30,33,96,2024-12-12,2024-12-27,7,3,NONE,Support handoff required,Frontend,React
T000154,E00426,P00154,Prepare project governance pack,Testing,Medium,Low,In Review,4,28,34,77,2025-04-14,2025-04-24,10,2,T000034,Cross-team dependency,Quality/Security,SQL
T000155,E00421,P00155,Audit admin access requests,Feature Development,Medium,High,Blocked,3,18,9,40,2023-11-05,2023-11-07,3,5,NONE,Automation opportunity,Backend,Git
T000156,E00091,P00156,Audit admin access requests,Deployment,Medium,Medium,Done,5,60,71,100,2024-03-02,2024-03-13,5,1,NONE,Support handoff required,DevOps/Cloud,Azure; AWS
